name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,State,availability_365,Rating,,,,,,,,,,,,,,,,,,,,,,
Guesthouse in Clemton Park · ★4.61 · 3 bedrooms · 1 bed · 3.5 shared baths,Frank,Canterbury,-33.92543,151.10137,Private room,19,2,29,22/01/2022,0.34,1,New South Wales,0,4.61,,,,,,,,,,,,,,,,,,,,,,
Home in Bexley · ★4.50 · 1 bedroom · 1 bed · 2 shared baths,Tim,"Rockdale, New South Wales",-33.95223,151.10792,Private room,19,333,5,19/04/2020,0.1,9,New South Wales,365,4.5,,,,,,,,,,,,,,,,,,,,,,
Loft in Botany · ★4.67 · 4 bedrooms · 1 bed · 2 baths,Tim,"Botany Bay, Derbyshire",-33.94759,151.19793,Private room,19,333,3,22/08/2020,0.07,9,New South Wales,365,4.67,,,,,,,,,,,,,,,,,,,,,,
Home in Bexley · ★4.20 · 1 bedroom · 1 bed · 2 baths,Tim,City of Rockdale,-33.95239,151.10839,Private room,19,333,6,22/08/2020,0.13,9,New South Wales,365,4.2,,,,,,,,,,,,,,,,,,,,,,
Home in Auburn · 1 bedroom · 1 bed · 1.5 shared baths,Jov,Auburn,-33.84684,151.03086,Private room,19,90,0,,,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Bexley · 1 bedroom · 2 beds · 2 shared baths,Tim,"Rockdale, New South Wales",-33.95231,151.10826,Private room,19,111,1,31/03/2020,0.02,9,New South Wales,253,0,,,,,,,,,,,,,,,,,,,,,,
Home in North Sydney  · 1 bedroom · 1 bed · 1.5 shared baths,Michelle,North Sydney,-33.83611,151.20412,Shared room,19,90,0,,,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Loft in Botany · 5 bedrooms · 5 beds · 2 shared baths,Tim,"Botany Bay, Derbyshire",-33.94384,151.19452,Private room,19,111,0,,,9,New South Wales,365,0,,,,,,,,,,,,,,,,,,,,,,
"Home in Norlane, Geelong · ★4.49 · 1 bedroom · 1 bed · 1 shared bath",Hamish,City of Greater Geelong,-38.09693,144.35813,Private room,20,7,56,28/05/2023,0.53,1,Victoria,0,4.49,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Flemington · ★4.60 · 1 bedroom · 2 beds · 1 bath,Trang,Melbourne,-37.78868,144.92314,Private room,20,3,5,8/11/2015,0.05,1,Victoria,0,4.6,,,,,,,,,,,,,,,,,,,,,,
Home in Camberwell · 1 bedroom · 1 bed · 1 bath,Manoj,City of Boroondara,-37.84818,145.09497,Private room,20,1,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in East Melbourne · 1 bedroom · 1 bed · 1 bath,Nihal Christopher,Melbourne,-37.81655,144.98572,Private room,20,1,0,,,2,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in South Melbourne · 1 bedroom · 1 bed · 1 bath,Danna,Melbourne,-37.8305,144.96882,Private room,20,7,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Townhouse in North Melbourne · 1 bedroom · 1 bed · 1 bath,Xavier,Melbourne,-37.80088,144.94679,Private room,20,6,2,30/07/2016,0.02,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Eltham · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,Bronny,Shire of Nillumbik,-37.70749,145.15234,Private room,20,1,6,17/10/2016,0.07,1,Victoria,0,4.83,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Abbotsford · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,Andy & Van,City of Yarra,-37.81093,145.00665,Private room,20,2,76,19/02/2019,0.95,1,Victoria,0,4.8,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Brunswick · 1 bedroom · 1 bed · 1 bath,Robert,City of Merri-bek,-37.76924,144.95219,Private room,20,1,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Townhouse in Footscray · Studio · 1 bed · 1 shared bath,Eric,"Maribyrnong, Victoria",-37.78862,144.889,Private room,20,1,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Clayton · 1 bedroom · 1 bed · 1 private bath,Mary,City of Monash,-37.91689,145.13451,Private room,20,1,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Bundoora · 1 bedroom · 1 bed · 1 shared bath,Rayan,City of Banyule,-37.69684,145.06261,Private room,20,7,1,7/10/2017,0.01,2,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Alphington · 1 bedroom · 1 bed · 1 shared bath,Tess,City of Darebin,-37.77935,145.03224,Shared room,20,1,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in West Melbourne · 1 bedroom · 3 beds · 1 shared bath,Miyung,Melbourne,-37.80956,144.9511,Shared room,20,7,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Vermont South · 1 bedroom · 1 bed · 1 shared bath,Sambhav,City of Whitehorse,-37.85768,145.16985,Private room,20,1,2,8/11/2018,0.03,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Keilor East · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,Laura,City of Moonee Valley,-37.74475,144.86297,Shared room,20,3,13,16/06/2020,0.24,2,Victoria,0,4.92,,,,,,,,,,,,,,,,,,,,,,
Home in Springvale · 1 bedroom · 3 beds · 1 bath,Imsa,City of Greater Dandenong,-37.96098,145.14712,Private room,20,1,1,10/07/2019,0.02,2,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
